Tweet_text,Sentiment,topic
"Bravo Biden!  Best State of the Union Address I've heard since Obama's.  So great to hear about our nation, Ukraine and plans on combatting Covid.  Not only informational but intelligent and articulate.  Bless President Biden and his entire Administration.  Let's get er done!",Negative,Policies
"Due to a reduction in demand for COVID testing, Healthy Medical will no longer hold testing clinics at the Unit 1 Administration Center.",Negative,Policies
I tested positive for covid today. I feel like crap. I can use some digital hugs. Not begging for it. But I’m in need.,Negative,Health condition
covid highkey beating my ass rn yo. i feel god awful,Negative,Health condition
"Tired of hearing about covid and vaccines and ""the spread""",Negative,Others
It looks like #Covid is a post era pandemic and regimes around the world have turn their focus on a new virus threat within the gates of blue-eyeds' lands (EU) -  Ukraine Russia virus.,Neutral,Others
#StateOfTheUnion As oil will reach 150 $ US will be friend with Iran. US will occupy Iraq again. Joe lost his personal business in Ukraine. US will ignore China’s Taiwan accession &amp; Wuhan’s role in Covid.West will pay hefty for being Selfish &amp; for hypocrisy. Swiss bank’s morale.,Neutral,Others
"To the people keeping me informed about what is happening in the world right now: thank you.
To those sharing little moments of happiness that have nothing to do with war(s), Covid, environmental disasters and death: also thank you.",Negative,Others
man covid sucks :(,Negative,Others
Just curious mask lovers! How come you never cared one iota about the immune compromised BEFORE Covid?? Why didn’t you all mask every flu/upper respiratory season for them? Hmmm?? #Losers,Negative,Policies
Is someone still trawling through the sewage to check for covid ???,Positive,Others
"Data scientists of Twitter, did wordle spread faster than covid ?",Neutral,Others
I ain’t heard shit about COVID in weeks,Negative,Trends
"So what’s the official guideline: if you have covid and need to run to the bomb shelter, do you still do it?",Positive,Others
My 96 year old grandma who smoked a pack a day for like 50 years has COVID with zero symptoms…they don’t build them like this anymore,Neutral,Health condition
When will COVID just get called a cold?,Neutral,Others
So #ScottyFromPhotoOps has probably infected the Emergency Services room with covid where he had today’s photo op?,Negative,Health condition
"Haris Rauf has tested positive for COVID-19 and will not be available for selection for the Rawalpindi Test against Australia.

Hasan Ali and Fahim Ashraf are already not available due to injuries.

#PAKvAUS",Neutral,Health condition
So nobody wearing a mask? #StateOfTheUnion COVID done?,Negative,Policies
Hope everyone realizes that the decision to go maskless at #SOTU2022 is just more evidence of democrats politicizing covid. Biden was vehemently against the vaccines until he took office. They’re going maskless right at election time so people are happier with them. It’s pathetic,Negative,Policies
"If every child in Australia got Covid they would not die. A few, with severe health issues may, but the rest will not die, yet here we are pushing - like a drug dealer - a vaccine on our children. Shame, shame on our leaders. You deserve to rot in hell for this.",Negative,Vaccination & Treatments
"As mask mandates lift because policy makers are over COVID, I wonder what the marketplace is like for long-term disability insurance? You should probably get some if you have to go back into the wild.",Neutral,Policies
